movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in $)
tt0060143,"Texas, Adios",1966,Not Rated,93 min,"Action, Western",6.1,A Texan sheriff and his younger brother travel across the border into Mexico to confront the man who killed their father.,Ferdinando Baldi,/name/nm0049728/,"Franco Nero, 
Alberto Dell'Acqua, 
Elisa Montés, 
José Guardiola","/name/nm0626259/,/name/nm0217255/,/name/nm0599539/,/name/nm0345348/",1717,
tt13293926,Saltwater: The Battle for Ramree Island,2021,,82 min,Action,2.6,A band of soldiers in search of a secret Japanese ammunition store face off against deadly saltwater crocodiles in the swamps of Ramree Island. Inspired by actual events during World War 2.,Steve Lawson,/name/nm1497680/,"Charlie Bond, 
Steven Dolton, 
Ryan Harvey, 
David Hon Ma Chu","/name/nm4393029/,/name/nm3773341/,/name/nm5322240/,/name/nm8367216/",233,
tt0081609,Assassination Attempt,1981,,150 min,"Action, Crime, Drama",6.7,Alain Delon and Claude Jade stars in this Soviet movie: Documents reveal in 1980 that the Germans planned to kill the Big Three in Teheran in 1943.,"Aleksandr Alov, 
Vladimir Naumov",/name/nm0022331/,"Natalya Belokhvostikova, 
Curd Jürgens, 
Igor Kostolevskiy, 
Claude Jade","/name/nm0622643/,/name/nm0069412/,/name/nm0432007/,/name/nm0467486/,/name/nm0415283/",1244,
tt1629741,Tomb Raider Ascension,2007,,60 min,"Action, Adventure, Fantasy",4.3,"Tomb Raider franchise, taking the story back to the beginning of Lara Croft's journey and showing her rise to become ""Tomb Raider"". A sacred artifact created by the ancient Mayan ...                See full summary »",Stephen Reynolds,/name/nm3893748/,"Anna Tyrie, 
Philip Goldacre, 
Peter Wear, 
Hugh Hemmings","/name/nm3296909/,/name/nm0325116/,/name/nm0915717/,/name/nm1845260/",182,
tt7086730,Devil's Night: Dawn of the Nain Rouge,2020,Not Rated,96 min,"Action, Crime, Horror",3.5,"A military veteran who returns home, works in law enforcement and she's assigned to a supernatural case that's surrounded by urban myth and legend.",Sam Logan Khaleghi,/name/nm1069500/,"Jesi Jensen, 
Nathan Mathers, 
Sam Logan Khaleghi, 
Jerry Narsh","/name/nm6592286/,/name/nm6719690/,/name/nm1069500/,/name/nm9261163/",322,
tt14922300,Collar Bomb,2021,,86 min,"Action, Thriller",5,"A glorified cop's life is thrown into chaos as he is forced to commit a series of crimes before a suicide bomber blows up a school. As he races against time, he's confronted by an evil that is hell-bent on striking raw, primal terror.",Dnyanesh Zoting,/name/nm8075510/,"Jimmy Shergill, 
Sparsh Srivastav, 
Rajshri Deshpande, 
Asha Negi","/name/nm0792116/,/name/nm10050596/,/name/nm5423482/,/name/nm4898167/",1742,
tt16154506,Breakout,VI,,86 min,"Action, Crime, Thriller",,"Having taken control of a maximum security prison, a criminal mastermind faces off against a retired Black Ops agent who had been visiting his incarcerated son.",Brandon Slagle,/name/nm1761677/,"Louis Mandylor, 
Kristos Andrews, 
Brian Krause, 
Tom Sizemore","/name/nm0541909/,/name/nm3300004/,/name/nm0470182/,/name/nm0001744/",,
tt8655738,Eternal Code,2019,,105 min,"Action, Crime, Thriller",3.5,Eternal life technology (transferring mind to new body) is developed by 2 companies. Resistance to the merger of the 2 companies is met with kidnapping and murder.,Harley Wallen,/name/nm6136445/,"Richard Tyson, 
Scout Taylor-Compton, 
Billy Wirth, 
Yan Birch","/name/nm0879186/,/name/nm0174021/,/name/nm0936198/,/name/nm0083300/",3601,
tt0115471,Adrenalin: Fear the Rush,1996,R,77 min,"Action, Sci-Fi, Thriller",3.8,"A bioweapon leaks in Eastern Europe and spreads west. It mutates in a quarantine area, creating a killer monster. Can a group of cops stop it and the new virus?",Albert Pyun,/name/nm0089502/,"Christopher Lambert, 
Natasha Henstridge, 
Norbert Weisser, 
Elizabeth Barondes","/name/nm0000483/,/name/nm0000449/,/name/nm0919256/,/name/nm0056336/",3728,37536
tt17639060,"Run, Tiger, Run!",2022,,,"Animation, Action, Adventure",7.7,"Throughout the Ming Dynasty, Ping Yang village has served as its financial center. Due to the constant threats of looting and robbery, an industry was born: The Travelguard Agency. The ...                See full summary »","Stanley Tsang, 
Joey Zou, 
Xiuping Liu, 
Bo Wang, 
Zongqing Yang, 
Jianru Zhang, 
Yuanwen Ji, 
Xiaozhen Jiang, 
Hongliang Niu",/name/nm3207789/,"Qi Lü, 
Nianci Shen, 
Dawei Liang, 
Qimin Cao","/name/nm9243249/,/name/nm13632056/,/name/nm5334290/,/name/nm13607994/,/name/nm13607995/,/name/nm9470156/,/name/nm0422642/,/name/nm13647525/,/name/nm10939417/,/name/nm13652238/,/name/nm13652239/,/name/nm13654967/",37,
